altura_cm,habilidades,nome,numero,peso_kg,proximas_evolucoes,tipos,url
0.5 m (1′08″),"[{'nome': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'efeito': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'nome': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'efeito': 'The Pokémon may heal its own status problems.', 'url': 'https://pokemondb.net/ability/shed-skin'}, {'nome': 'No Guard', 'desc': 'Ensures the Pokémon and its foe’s attacks land.', 'efeito': 'No Guard ensures that all attacks used by, and targeted at, the ability-bearer hit without fail.', 'url': 'https://pokemondb.net/ability/no-guard'}]",Karrablast,588,5.9 kg (13.0 lbs),"[{'numero': 589, 'nome': 'Escavalier', 'url': 'https://pokemondb.net/pokedex/escavalier'}]",Bug,https://pokemondb.net/pokedex/karrablast
1.5 m (4′11″),"[{'nome': 'Frisk', 'desc': 'The Pokémon can check the foe’s held item.', 'efeito': ""The Pokémon can check a foe's held item."", 'url': 'https://pokemondb.net/ability/frisk'}, {'nome': 'Competitive', 'desc': 'Boosts the Sp. Atk stat when a stat is lowered.', 'efeito': ""Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/competitive'}, {'nome': 'Shadow Tag', 'desc': 'Prevents the foe’s escape.', 'efeito': 'Prevents the foe from escaping.', 'url': 'https://pokemondb.net/ability/shadow-tag'}]",Gothitelle,576,44.0 kg (97.0 lbs),,Psychic,https://pokemondb.net/pokedex/gothitelle
1.3 m (4′03″),"[{'nome': 'Ice Body', 'desc': 'The Pokémon regains HP in a hailstorm.', 'efeito': 'A Pokémon with Ice Body will recover 1⁄16 of its maximum HP during hail, after each turn. It also grants immunity to the hailstorm damage, if not already immune.', 'url': 'https://pokemondb.net/ability/ice-body'}, {'nome': 'Snow Warning', 'desc': 'The Pokémon summons a hailstorm in battle.', 'efeito': 'Snow Warning creates a hailstorm when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.', 'url': 'https://pokemondb.net/ability/snow-warning'}, {'nome': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'efeito': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}]",Vanilluxe,584,57.5 kg (126.8 lbs),,Ice,https://pokemondb.net/pokedex/vanilluxe
0.5 m (1′08″),"[{'nome': 'Mummy', 'desc': 'Contact with this Pokémon spreads this Ability.', 'efeito': 'Contact with this Pokémon spreads this Ability.', 'url': 'https://pokemondb.net/ability/mummy'}, {'nome': 'Wandering Spirit', 'desc': 'The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.', 'efeito': 'Swaps abilities with opponents on contact.', 'url': 'https://pokemondb.net/ability/wandering-spirit'}]",Yamask,562,1.5 kg (3.3 lbs),"[{'numero': 563, 'nome': 'Cofagrigus', 'url': 'https://pokemondb.net/pokedex/cofagrigus'}, {'numero': 867, 'nome': 'Runerigus', 'url': 'https://pokemondb.net/pokedex/runerigus'}]",Ghost,https://pokemondb.net/pokedex/yamask
0.7 m (2′04″),"[{'nome': 'Illusion', 'desc': 'Comes out disguised as the Pokémon in back.', 'efeito': ""When a Pokémon with the Illusion ability switches into battle, it takes the form of the Pokémon in last place (6th) of the player's party. Illusion will not activate if the Pokémon in last place is the same species or is fainted."", 'url': 'https://pokemondb.net/ability/illusion'}, {'nome': 'Illusion', 'desc': 'Comes out disguised as the Pokémon in back.', 'efeito': ""When a Pokémon with the Illusion ability switches into battle, it takes the form of the Pokémon in last place (6th) of the player's party. Illusion will not activate if the Pokémon in last place is the same species or is fainted."", 'url': 'https://pokemondb.net/ability/illusion'}]",Zorua,570,12.5 kg (27.6 lbs),"[{'numero': 571, 'nome': 'Zoroark', 'url': 'https://pokemondb.net/pokedex/zoroark'}, {'numero': 571, 'nome': 'Zoroark', 'url': 'https://pokemondb.net/pokedex/zoroark'}]",Dark,https://pokemondb.net/pokedex/zorua
0.4 m (1′04″),"[{'nome': 'Frisk', 'desc': 'The Pokémon can check the foe’s held item.', 'efeito': ""The Pokémon can check a foe's held item."", 'url': 'https://pokemondb.net/ability/frisk'}, {'nome': 'Competitive', 'desc': 'Boosts the Sp. Atk stat when a stat is lowered.', 'efeito': ""Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/competitive'}, {'nome': 'Shadow Tag', 'desc': 'Prevents the foe’s escape.', 'efeito': 'Prevents the foe from escaping.', 'url': 'https://pokemondb.net/ability/shadow-tag'}]",Gothita,574,5.8 kg (12.8 lbs),"[{'numero': 575, 'nome': 'Gothorita', 'url': 'https://pokemondb.net/pokedex/gothorita'}, {'numero': 576, 'nome': 'Gothitelle', 'url': 'https://pokemondb.net/pokedex/gothitelle'}]",Psychic,https://pokemondb.net/pokedex/gothita
1.7 m (5′07″),"[{'nome': 'Blaze', 'desc': 'Ups FIRE moves in a pinch.', 'efeito': ""Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/blaze'}, {'nome': 'Solar Power', 'desc': 'Boosts Sp. Atk, but lowers HP in sunshine.', 'efeito': ""During harsh sunlight, Solar Power raises the ability-bearer's Special Attack by 50%, but it also loses 1⁄8 of its maximum HP after each turn."", 'url': 'https://pokemondb.net/ability/solar-power'}, {'nome': 'Tough Claws', 'desc': 'Powers up moves that make direct contact.', 'efeito': 'Tough Claws increases the power of moves that make contact.', 'url': 'https://pokemondb.net/ability/tough-claws'}, {'nome': 'Drought', 'desc': 'Summons sunlight in battle.', 'efeito': 'Drought creates harsh sunlight when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.', 'url': 'https://pokemondb.net/ability/drought'}]",Charizard,6,90.5 kg (199.5 lbs),,"Fire, Flying",https://pokemondb.net/pokedex/charizard
0.5 m (1′08″),"[{'nome': 'Cute Charm', 'desc': 'Infatuates on contact.', 'efeito': 'If a Pokémon with Cute Charm is hit by a move that makes contact, there is a 30% chance the attacker will become infatuated. It will not infatuate Pokémon of the same gender, genderless Pokémon, nor those with the ability Oblivious.', 'url': 'https://pokemondb.net/ability/cute-charm'}, {'nome': 'Technician', 'desc': 'Powers up the Pokémon’s weaker moves.', 'efeito': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%.', 'url': 'https://pokemondb.net/ability/technician'}, {'nome': 'Skill Link', 'desc': 'Increases the frequency of multi-strike moves.', 'efeito': 'Skill Link causes multi-strike moves to always hit their maximum number of times. The moves affected are listed below; note that moves such as Double Kick that always strike the same number of times are not affected.', 'url': 'https://pokemondb.net/ability/skill-link'}]",Cinccino,573,7.5 kg (16.5 lbs),,Normal,https://pokemondb.net/pokedex/cinccino
1.0 m (3′03″),"[{'nome': 'Overcoat', 'desc': 'Protects the Pokémon from damage from weather.', 'efeito': 'Overcoat makes the Pokémon immune to residual damage from weather conditions (specifically Hail and Sandstorm).', 'url': 'https://pokemondb.net/ability/overcoat'}, {'nome': 'Magic Guard', 'desc': 'The Pokémon only takes damage from attacks.', 'efeito': 'Magic Guard protects the Pokémon from indirect damage, including:', 'url': 'https://pokemondb.net/ability/magic-guard'}, {'nome': 'Regenerator', 'desc': 'Restores a little HP when withdrawn from battle.', 'efeito': 'A Pokémon with Regenerator restores 1⁄3 of its maximum HP when switching out.', 'url': 'https://pokemondb.net/ability/regenerator'}]",Reuniclus,579,20.1 kg (44.3 lbs),,Psychic,https://pokemondb.net/pokedex/reuniclus
1.2 m (3′11″),"[{'nome': 'Solid Rock', 'desc': 'Powers down supereffective moves.', 'efeito': 'Solid Rock reduces the damage taken from super-effective attacks by 25%.', 'url': 'https://pokemondb.net/ability/solid-rock'}, {'nome': 'Sturdy', 'desc': 'Negates 1-hit KO attacks.', 'efeito': 'Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (Fissure, Horn Drill, Guillotine or Sheer Cold).', 'url': 'https://pokemondb.net/ability/sturdy'}, {'nome': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'efeito': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}]",Carracosta,565,81.0 kg (178.6 lbs),,"Water, Rock",https://pokemondb.net/pokedex/carracosta
0.4 m (1′04″),"[{'nome': 'Cute Charm', 'desc': 'Infatuates on contact.', 'efeito': 'If a Pokémon with Cute Charm is hit by a move that makes contact, there is a 30% chance the attacker will become infatuated. It will not infatuate Pokémon of the same gender, genderless Pokémon, nor those with the ability Oblivious.', 'url': 'https://pokemondb.net/ability/cute-charm'}, {'nome': 'Technician', 'desc': 'Powers up the Pokémon’s weaker moves.', 'efeito': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%.', 'url': 'https://pokemondb.net/ability/technician'}, {'nome': 'Skill Link', 'desc': 'Increases the frequency of multi-strike moves.', 'efeito': 'Skill Link causes multi-strike moves to always hit their maximum number of times. The moves affected are listed below; note that moves such as Double Kick that always strike the same number of times are not affected.', 'url': 'https://pokemondb.net/ability/skill-link'}]",Minccino,572,5.8 kg (12.8 lbs),"[{'numero': 573, 'nome': 'Cinccino', 'url': 'https://pokemondb.net/pokedex/cinccino'}]",Normal,https://pokemondb.net/pokedex/minccino
0.7 m (2′04″),"[{'nome': 'Solid Rock', 'desc': 'Powers down supereffective moves.', 'efeito': 'Solid Rock reduces the damage taken from super-effective attacks by 25%.', 'url': 'https://pokemondb.net/ability/solid-rock'}, {'nome': 'Sturdy', 'desc': 'Negates 1-hit KO attacks.', 'efeito': 'Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (Fissure, Horn Drill, Guillotine or Sheer Cold).', 'url': 'https://pokemondb.net/ability/sturdy'}, {'nome': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'efeito': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}]",Tirtouga,564,16.5 kg (36.4 lbs),"[{'numero': 565, 'nome': 'Carracosta', 'url': 'https://pokemondb.net/pokedex/carracosta'}]","Water, Rock",https://pokemondb.net/pokedex/tirtouga
0.6 m (2′00″),"[{'nome': 'Stench', 'desc': 'Helps repel wild POKéMON.', 'efeito': 'A Pokémon with Stench has a 10% chance of causing the opponent to flinch when hit by a damaging move (provided the ability-bearer strikes first as usual).', 'url': 'https://pokemondb.net/ability/stench'}, {'nome': 'Sticky Hold', 'desc': 'Prevents item theft.', 'efeito': 'Sticky Hold prevents held items from being taken or switched.', 'url': 'https://pokemondb.net/ability/sticky-hold'}, {'nome': 'Aftermath', 'desc': 'Damages the foe landing the finishing hit.', 'efeito': 'If an attacker faints a Pokémon with Aftermath using a contact move, the attacker will lose 1⁄4 of their maximum HP.', 'url': 'https://pokemondb.net/ability/aftermath'}]",Trubbish,568,31.0 kg (68.3 lbs),"[{'numero': 569, 'nome': 'Garbodor', 'url': 'https://pokemondb.net/pokedex/garbodor'}]",Poison,https://pokemondb.net/pokedex/trubbish
0.7 m (2′04″),"[{'nome': 'Frisk', 'desc': 'The Pokémon can check the foe’s held item.', 'efeito': ""The Pokémon can check a foe's held item."", 'url': 'https://pokemondb.net/ability/frisk'}, {'nome': 'Competitive', 'desc': 'Boosts the Sp. Atk stat when a stat is lowered.', 'efeito': ""Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/competitive'}, {'nome': 'Shadow Tag', 'desc': 'Prevents the foe’s escape.', 'efeito': 'Prevents the foe from escaping.', 'url': 'https://pokemondb.net/ability/shadow-tag'}]",Gothorita,575,18.0 kg (39.7 lbs),"[{'numero': 576, 'nome': 'Gothitelle', 'url': 'https://pokemondb.net/pokedex/gothitelle'}]",Psychic,https://pokemondb.net/pokedex/gothorita
0.4 m (1′04″),"[{'nome': 'Minus', 'desc': 'Powers up with PLUS.', 'efeito': 'Ups Sp. Atk if another Pokémon has Plus or Minus.', 'url': 'https://pokemondb.net/ability/minus'}, {'nome': 'Volt Absorb', 'desc': 'Turns electricity into HP.', 'efeito': 'A Pokémon with Volt Absorb heals 1⁄4 of its maximum HP when hit by an Electric-type attack, including Thunder Wave.', 'url': 'https://pokemondb.net/ability/volt-absorb'}]",Minun,312,4.2 kg (9.3 lbs),,Electric,https://pokemondb.net/pokedex/minun
1.9 m (6′03″),"[{'nome': 'Stench', 'desc': 'Helps repel wild POKéMON.', 'efeito': 'A Pokémon with Stench has a 10% chance of causing the opponent to flinch when hit by a damaging move (provided the ability-bearer strikes first as usual).', 'url': 'https://pokemondb.net/ability/stench'}, {'nome': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'efeito': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}, {'nome': 'Aftermath', 'desc': 'Damages the foe landing the finishing hit.', 'efeito': 'If an attacker faints a Pokémon with Aftermath using a contact move, the attacker will lose 1⁄4 of their maximum HP.', 'url': 'https://pokemondb.net/ability/aftermath'}]",Garbodor,569,107.3 kg (236.6 lbs),,Poison,https://pokemondb.net/pokedex/garbodor
0.3 m (1′00″),"[{'nome': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'efeito': 'The Pokémon may heal its own status problems.', 'url': 'https://pokemondb.net/ability/shed-skin'}, {'nome': 'Run Away', 'desc': 'Makes escaping easier.', 'efeito': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}]",Kricketot,401,2.2 kg (4.9 lbs),"[{'numero': 402, 'nome': 'Kricketune', 'url': 'https://pokemondb.net/pokedex/kricketune'}]",Bug,https://pokemondb.net/pokedex/kricketot
1.4 m (4′07″),"[{'nome': 'Wonder Skin', 'desc': 'Makes status-changing moves more likely to miss.', 'efeito': 'Wonder Skin halves the accuracy of all status moves targeted at the ability-bearer.', 'url': 'https://pokemondb.net/ability/wonder-skin'}, {'nome': 'Magic Guard', 'desc': 'The Pokémon only takes damage from attacks.', 'efeito': 'Magic Guard protects the Pokémon from indirect damage, including:', 'url': 'https://pokemondb.net/ability/magic-guard'}, {'nome': 'Tinted Lens', 'desc': 'Powers up “not very effective” moves.', 'efeito': 'Powers up “not very effective” moves.', 'url': 'https://pokemondb.net/ability/tinted-lens'}]",Sigilyph,561,14.0 kg (30.9 lbs),,"Psychic, Flying",https://pokemondb.net/pokedex/sigilyph
0.7 m (2′04″),"[{'nome': 'Sand Veil', 'desc': 'Ups evasion in a sandstorm.', 'efeito': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type)."", 'url': 'https://pokemondb.net/ability/sand-veil'}, {'nome': 'Rough Skin', 'desc': 'Hurts to touch.', 'efeito': 'When a Pokémon with Rough Skin is hit by a move that makes contact, the attacker receives damage equal to 1⁄8 of their maximum HP.', 'url': 'https://pokemondb.net/ability/rough-skin'}]",Gible,443,20.5 kg (45.2 lbs),"[{'numero': 444, 'nome': 'Gabite', 'url': 'https://pokemondb.net/pokedex/gabite'}, {'numero': 445, 'nome': 'Garchomp', 'url': 'https://pokemondb.net/pokedex/garchomp'}]","Dragon, Ground",https://pokemondb.net/pokedex/gible
1.0 m (3′03″),"[{'nome': 'Pressure', 'desc': 'Raises foe’s PP usage.', 'efeito': 'Pressure makes any attack targeted at the ability-bearer - regardless of whether it hits - use 2 PP instead of 1.', 'url': 'https://pokemondb.net/ability/pressure'}, {'nome': 'Infiltrator', 'desc': 'Passes through the foe’s barrier and strikes.', 'efeito': 'Infiltrator ignores the effects of Reflect, Light Screen and Safeguard. In other words, if the opponent has used Safeguard, Toxic would still badly poison them.', 'url': 'https://pokemondb.net/ability/infiltrator'}]",Spiritomb,442,108.0 kg (238.1 lbs),,"Ghost, Dark",https://pokemondb.net/pokedex/spiritomb
1.4 m (4′07″),"[{'nome': 'Sand Veil', 'desc': 'Ups evasion in a sandstorm.', 'efeito': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type)."", 'url': 'https://pokemondb.net/ability/sand-veil'}, {'nome': 'Rough Skin', 'desc': 'Hurts to touch.', 'efeito': 'When a Pokémon with Rough Skin is hit by a move that makes contact, the attacker receives damage equal to 1⁄8 of their maximum HP.', 'url': 'https://pokemondb.net/ability/rough-skin'}]",Gabite,444,56.0 kg (123.5 lbs),"[{'numero': 445, 'nome': 'Garchomp', 'url': 'https://pokemondb.net/pokedex/garchomp'}]","Dragon, Ground",https://pokemondb.net/pokedex/gabite
1.9 m (6′03″),"[{'nome': 'Sand Veil', 'desc': 'Ups evasion in a sandstorm.', 'efeito': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type)."", 'url': 'https://pokemondb.net/ability/sand-veil'}, {'nome': 'Rough Skin', 'desc': 'Hurts to touch.', 'efeito': 'When a Pokémon with Rough Skin is hit by a move that makes contact, the attacker receives damage equal to 1⁄8 of their maximum HP.', 'url': 'https://pokemondb.net/ability/rough-skin'}, {'nome': 'Sand Force', 'desc': 'Boosts certain moves’ power in a sandstorm.', 'efeito': 'Sand Force raises the power of Ground, Rock and Steel type moves by 30% during a sandstorm.', 'url': 'https://pokemondb.net/ability/sand-force'}]",Garchomp,445,95.0 kg (209.4 lbs),,"Dragon, Ground",https://pokemondb.net/pokedex/garchomp
1.4 m (4′07″),"[{'nome': 'Sturdy', 'desc': 'Negates 1-hit KO attacks.', 'efeito': 'Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (Fissure, Horn Drill, Guillotine or Sheer Cold).', 'url': 'https://pokemondb.net/ability/sturdy'}, {'nome': 'Shell Armor', 'desc': 'Blocks critical hits.', 'efeito': 'Shell Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/shell-armor'}, {'nome': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'efeito': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}]",Crustle,558,200.0 kg (440.9 lbs),,"Bug, Rock",https://pokemondb.net/pokedex/crustle
1.1 m (3′07″),"[{'nome': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'efeito': 'The Pokémon may heal its own status problems.', 'url': 'https://pokemondb.net/ability/shed-skin'}, {'nome': 'Moxie', 'desc': 'Boosts Attack after knocking out any Pokémon.', 'efeito': ""Moxie increases the user's Attack one stage upon fainting an opponent."", 'url': 'https://pokemondb.net/ability/moxie'}, {'nome': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'efeito': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}]",Scrafty,560,30.0 kg (66.1 lbs),,"Dark, Fighting",https://pokemondb.net/pokedex/scrafty
1.0 m (3′03″),"[{'nome': 'Water Absorb', 'desc': 'Changes water into HP.', 'efeito': 'A Pokémon with Water Absorb heals 1⁄4 of its maximum HP when hit by a Water-type attack.', 'url': 'https://pokemondb.net/ability/water-absorb'}, {'nome': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'efeito': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'nome': 'Storm Drain', 'desc': 'The Pokémon draws in all Water-type moves.', 'efeito': 'Storm Drain forces all single-target Water-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. The ability is most useful in double/triple battles.', 'url': 'https://pokemondb.net/ability/storm-drain'}]",Maractus,556,28.0 kg (61.7 lbs),,Grass,https://pokemondb.net/pokedex/maractus
0.3 m (1′00″),"[{'nome': 'Sturdy', 'desc': 'Negates 1-hit KO attacks.', 'efeito': 'Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (Fissure, Horn Drill, Guillotine or Sheer Cold).', 'url': 'https://pokemondb.net/ability/sturdy'}, {'nome': 'Shell Armor', 'desc': 'Blocks critical hits.', 'efeito': 'Shell Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/shell-armor'}, {'nome': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'efeito': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}]",Dwebble,557,14.5 kg (32.0 lbs),"[{'numero': 558, 'nome': 'Crustle', 'url': 'https://pokemondb.net/pokedex/crustle'}]","Bug, Rock",https://pokemondb.net/pokedex/dwebble
0.6 m (2′00″),"[{'nome': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'efeito': 'The Pokémon may heal its own status problems.', 'url': 'https://pokemondb.net/ability/shed-skin'}, {'nome': 'Moxie', 'desc': 'Boosts Attack after knocking out any Pokémon.', 'efeito': ""Moxie increases the user's Attack one stage upon fainting an opponent."", 'url': 'https://pokemondb.net/ability/moxie'}, {'nome': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'efeito': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}]",Scraggy,559,11.8 kg (26.0 lbs),"[{'numero': 560, 'nome': 'Scrafty', 'url': 'https://pokemondb.net/pokedex/scrafty'}]","Dark, Fighting",https://pokemondb.net/pokedex/scraggy
1.5 m (4′11″),"[{'nome': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'efeito': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'nome': 'Moxie', 'desc': 'Boosts Attack after knocking out any Pokémon.', 'efeito': ""Moxie increases the user's Attack one stage upon fainting an opponent."", 'url': 'https://pokemondb.net/ability/moxie'}, {'nome': 'Anger Point', 'desc': 'Raises Attack upon taking a critical hit.', 'efeito': ""Anger Point raises the ability-bearer's Attack to its maximum level - +6 stages or 4× usual power - when a move targeting it receives a critical hit."", 'url': 'https://pokemondb.net/ability/anger-point'}]",Krookodile,553,96.3 kg (212.3 lbs),,"Ground, Dark",https://pokemondb.net/pokedex/krookodile
1.0 m (3′03″),"[{'nome': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'efeito': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'nome': 'Moxie', 'desc': 'Boosts Attack after knocking out any Pokémon.', 'efeito': ""Moxie increases the user's Attack one stage upon fainting an opponent."", 'url': 'https://pokemondb.net/ability/moxie'}, {'nome': 'Anger Point', 'desc': 'Raises Attack upon taking a critical hit.', 'efeito': ""Anger Point raises the ability-bearer's Attack to its maximum level - +6 stages or 4× usual power - when a move targeting it receives a critical hit."", 'url': 'https://pokemondb.net/ability/anger-point'}]",Krokorok,552,33.4 kg (73.6 lbs),"[{'numero': 553, 'nome': 'Krookodile', 'url': 'https://pokemondb.net/pokedex/krookodile'}]","Ground, Dark",https://pokemondb.net/pokedex/krokorok
0.7 m (2′04″),"[{'nome': 'Prankster', 'desc': 'Gives priority to a status move.', 'efeito': 'Prankster increases the priority of status moves by +1.', 'url': 'https://pokemondb.net/ability/prankster'}, {'nome': 'Infiltrator', 'desc': 'Passes through the foe’s barrier and strikes.', 'efeito': 'Infiltrator ignores the effects of Reflect, Light Screen and Safeguard. In other words, if the opponent has used Safeguard, Toxic would still badly poison them.', 'url': 'https://pokemondb.net/ability/infiltrator'}, {'nome': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'efeito': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}]",Whimsicott,547,6.6 kg (14.6 lbs),,"Grass, Fairy",https://pokemondb.net/pokedex/whimsicott
0.7 m (2′04″),"[{'nome': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'efeito': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'nome': 'Moxie', 'desc': 'Boosts Attack after knocking out any Pokémon.', 'efeito': ""Moxie increases the user's Attack one stage upon fainting an opponent."", 'url': 'https://pokemondb.net/ability/moxie'}, {'nome': 'Anger Point', 'desc': 'Raises Attack upon taking a critical hit.', 'efeito': ""Anger Point raises the ability-bearer's Attack to its maximum level - +6 stages or 4× usual power - when a move targeting it receives a critical hit."", 'url': 'https://pokemondb.net/ability/anger-point'}]",Sandile,551,15.2 kg (33.5 lbs),"[{'numero': 552, 'nome': 'Krokorok', 'url': 'https://pokemondb.net/pokedex/krokorok'}, {'numero': 553, 'nome': 'Krookodile', 'url': 'https://pokemondb.net/pokedex/krookodile'}]","Ground, Dark",https://pokemondb.net/pokedex/sandile
0.3 m (1′00″),"[{'nome': 'Prankster', 'desc': 'Gives priority to a status move.', 'efeito': 'Prankster increases the priority of status moves by +1.', 'url': 'https://pokemondb.net/ability/prankster'}, {'nome': 'Infiltrator', 'desc': 'Passes through the foe’s barrier and strikes.', 'efeito': 'Infiltrator ignores the effects of Reflect, Light Screen and Safeguard. In other words, if the opponent has used Safeguard, Toxic would still badly poison them.', 'url': 'https://pokemondb.net/ability/infiltrator'}, {'nome': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'efeito': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}]",Cottonee,546,0.6 kg (1.3 lbs),"[{'numero': 547, 'nome': 'Whimsicott', 'url': 'https://pokemondb.net/pokedex/whimsicott'}]","Grass, Fairy",https://pokemondb.net/pokedex/cottonee
0.4 m (1′04″),"[{'nome': 'Poison Point', 'desc': 'Poisons foe on contact.', 'efeito': 'Contact with the Pokémon may poison the attacker.', 'url': 'https://pokemondb.net/ability/poison-point'}, {'nome': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'efeito': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'nome': 'Speed Boost', 'desc': 'Gradually boosts SPEED.', 'efeito': 'Its Speed stat is gradually boosted.', 'url': 'https://pokemondb.net/ability/speed-boost'}]",Venipede,543,5.3 kg (11.7 lbs),"[{'numero': 544, 'nome': 'Whirlipede', 'url': 'https://pokemondb.net/pokedex/whirlipede'}, {'numero': 545, 'nome': 'Scolipede', 'url': 'https://pokemondb.net/pokedex/scolipede'}]","Bug, Poison",https://pokemondb.net/pokedex/venipede
